SituationNumber,LineRef,AffectedStopRef,AffectedStopName,Severity,ReasonCategory,ReasonType,Planned,StartTime,EndTime,DurationHours,IsSynthetic
SYN-131244,1,340000008JR5,John Radcliffe Hospital Manor Surgery,verySlight,RoadworksReason,resurfacingWork,True,2026-05-28T13:09:42.784809,2026-05-28T14:00:38.626166,0.85,True
SYN-895667,1,340001233OMO,Blackbird Leys The Blackbird,verySlight,RoadworksReason,maintenanceWork,True,2026-04-09T10:22:54.185164,2026-04-09T11:22:43.724020,1.0,True
SYN-733052,10,340003108OPP,Eynsham Evenlode,verySlight,EnvironmentReason,highTemperatures,False,2026-06-12T12:34:10.502252,2026-06-12T13:36:28.326111,1.04,True
SYN-705397,10,340001822OPP,Farmoor Oxford Road,slight,RoadworksReason,resurfacingWork,True,2026-04-24T19:21:54.263518,2026-04-24T23:00:53.329824,3.65,True
SYN-270555,10,340002015CNR,Eynsham Old Witney Road,verySlight,RoadworksReason,maintenanceWork,True,2026-04-18T07:20:36.077836,2026-04-18T08:34:00.569508,1.22,True
SYN-497887,10,340003742CPK,Chadlington Caravan Park,normal,RoadworksReason,resurfacingWork,True,2026-05-04T07:35:27.200301,2026-05-05T15:31:47.761151,31.94,True
SYN-520651,10,340001448BHC,Bretch Hill Bretch Hill,slight,MiscellaneousReason,demonstration,True,2026-04-25T07:05:14.301075,2026-04-25T13:59:14.169464,6.9,True
SYN-246413,12,340001330RBT,Barton Underhill Circus,severe,RoadworksReason,maintenanceWork,True,2026-04-25T02:19:13.051587,2026-05-01T14:00:54.522108,155.69,True
SYN-195325,13,340001783OPP,Easington Ashridge Close,normal,EquipmentReason,signalFailure,False,2026-04-23T04:42:55.499828,2026-04-24T00:38:35.736512,19.93,True
SYN-363626,13,340002014KSS,Kingsmere Whitelands Way South,normal,MiscellaneousReason,diversion,True,2026-06-08T00:29:22.056982,2026-06-08T07:17:04.845636,6.8,True
SYN-555884,14,340004128OUT,Bodicote Bodicote House,normal,MiscellaneousReason,diversion,True,2026-06-27T09:31:45.464323,2026-06-28T22:34:04.507778,37.04,True
SYN-982554,14,340017104YAR,Bodicote Yarrow Road,severe,RoadworksReason,maintenanceWork,True,2026-04-15T05:37:14.697784,2026-04-21T17:02:20.969700,155.42,True
SYN-120422,14,340001779OPP,Deddington The Leyes,slight,EnvironmentReason,fog,False,2026-05-28T12:07:51.272078,2026-05-28T19:48:19.465719,7.67,True
