line_code,week_number,disruption_count,avg_severity,avg_duration_hours,pct_planned,log_avg_duration_hours,n_scheduled_trips,avg_run_time_minutes,n_avl_observations,avg_delay_minutes,total_disruptions_all_weeks,avg_fare
800,14,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,14,1,3.0,19.52,0.0,3.021400020302569,4,3.13,3,55.4,5,3.87
234,14,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,14,0,0.0,0.0,0.0,0.0,50,1.89,4,75.96,7,4.35
29,14,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,14,0,0.0,0.0,0.0,0.0,426,1.54,20,29.76,3,1.52
B4,14,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,14,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,14,0,0.0,0.0,0.0,0.0,162,1.24,27,71.74,6,3.49
X4,14,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,14,0,0.0,0.0,0.0,0.0,80,1.4,14,68.94,6,4.0
NS1,14,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,14,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,14,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,14,0,0.0,0.0,0.0,0.0,355,1.2,15,32.45,7,1.64
H5,14,0,0.0,0.0,0.0,0.0,57,1.89,5,36.4,5,3.71
B3,14,0,0.0,0.0,0.0,0.0,124,1.04,1,26.42,7,1.82
25,14,1,3.0,26.5,0.0,3.3141860046725258,15,1.82,1,40.1,2,3.24
233,14,1,4.0,45.33,1.0,3.835789699428557,65,1.37,2,35.4,6,3.16
B9,14,0,0.0,0.0,0.0,0.0,272,1.16,9,24.42,7,1.86
B10,14,0,0.0,0.0,0.0,0.0,20,2.25,2,11.03,6,1.65
TUBE,14,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,14,0,0.0,0.0,0.0,0.0,88,1.73,14,61.13,5,3.92
N8,14,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,14,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,14,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,14,0,0.0,0.0,0.0,0.0,676,1.41,31,35.01,2,18.46
N2,14,0,0.0,0.0,0.0,0.0,21,0.78,1,27.12,3,3.0
S5,14,0,0.0,0.0,0.0,0.0,307,1.97,28,50.23,4,3.46
10,14,0,0.0,0.0,0.0,0.0,110,1.78,8,37.04,5,1.67
E1,14,1,2.0,2.49,1.0,1.2499017362143359,223,1.2,11,25.13,4,3.41
NS9,14,0,0.0,0.0,0.0,0.0,6,0.97,0,0.0,0,0.0
12,14,0,0.0,0.0,0.0,0.0,212,1.56,7,15.49,1,1.57
N1,14,0,0.0,0.0,0.0,0.0,65,0.94,2,34.78,6,3.0
900,14,0,0.0,0.0,0.0,0.0,120,2.0,7,39.23,5,1.68
13,14,0,0.0,0.0,0.0,0.0,197,1.58,25,41.37,2,1.48
14,14,0,0.0,0.0,0.0,0.0,177,1.2,7,24.85,5,2.44
S9,14,0,0.0,0.0,0.0,0.0,207,1.19,24,34.28,0,0.0
NS5,14,0,0.0,0.0,0.0,0.0,8,1.15,0,0.0,0,3.0
489,14,0,0.0,0.0,0.0,0.0,7,1.75,2,46.15,5,3.87
S1,14,0,0.0,0.0,0.0,0.0,309,1.57,30,59.73,5,3.77
2,14,0,0.0,0.0,0.0,0.0,423,1.14,24,27.01,6,7.08
800,15,0,0.0,0.0,0.0,0.0,134,1.94,12,63.91,4,1.73
S2X,15,0,0.0,0.0,0.0,0.0,4,3.13,3,55.4,5,3.87
234,15,0,0.0,0.0,0.0,0.0,60,1.47,1,19.79,2,3.23
200,15,0,0.0,0.0,0.0,0.0,50,1.89,4,75.96,7,4.35
29,15,0,0.0,0.0,0.0,0.0,67,1.63,4,19.35,6,3.06
8,15,1,2.0,6.35,1.0,1.9947003132247452,426,1.54,20,29.76,3,1.52
B4,15,0,0.0,0.0,0.0,0.0,122,1.43,1,22.43,2,1.75
488,15,0,0.0,0.0,0.0,0.0,57,1.91,4,60.98,5,3.91
S7,15,1,1.0,2.84,1.0,1.3454723665996355,162,1.24,27,71.74,6,3.49
X4,15,0,0.0,0.0,0.0,0.0,8,1.66,1,96.22,3,3.95
S4,15,0,0.0,0.0,0.0,0.0,80,1.4,14,68.94,6,4.0
NS1,15,0,0.0,0.0,0.0,0.0,16,1.3,1,72.82,3,3.0
26,15,0,0.0,0.0,0.0,0.0,47,1.39,1,14.25,4,2.27
S3,15,0,0.0,0.0,0.0,0.0,193,1.59,20,84.44,4,3.84
2A,15,2,2.5,17.175,1.0,2.900047023419583,355,1.2,15,32.45,7,1.64
H5,15,1,1.0,1.45,0.0,0.8960880245566356,57,1.89,5,36.4,5,3.71
B3,15,1,2.0,5.71,0.0,1.9035989509835904,124,1.04,1,26.42,7,1.82
25,15,0,0.0,0.0,0.0,0.0,15,1.82,1,40.1,2,3.24
233,15,0,0.0,0.0,0.0,0.0,65,1.37,2,35.4,6,3.16
B9,15,1,1.0,2.88,0.0,1.355835153635182,272,1.16,9,24.42,7,1.86
B10,15,1,2.0,5.06,0.0,1.801709800081223,20,2.25,2,11.03,6,1.65
TUBE,15,0,0.0,0.0,0.0,0.0,559,6.97,52,100.54,6,14.43
500,15,2,2.0,7.22,1.0,2.1065702090680887,88,1.73,14,61.13,5,3.92
N8,15,0,0.0,0.0,0.0,0.0,42,0.95,0,0.0,0,3.0
B5,15,0,0.0,0.0,0.0,0.0,148,1.1,9,26.27,1,1.85
9,15,0,0.0,0.0,0.0,0.0,103,1.6,7,37.07,5,1.58
1,15,1,1.0,1.0,1.0,0.6931471805599453,676,1.41,31,35.01,2,18.46
N2,15,1,1.0,1.59,0.0,0.9516578757114464,21,0.78,1,27.12,3,3.0
S5,15,2,2.5,70.285,0.5,4.266685926605924,307,1.97,28,50.23,4,3.46
